#{"t_start": 1749383827.0857978, "env_id": "Swimmer-v4"}
r,l,t
347.616881,1000,3940.831268
344.8213,1000,3952.862496
344.807604,1000,3966.748329
350.40413,1000,3979.066361
342.940703,1000,3997.409904
343.520172,1000,4009.773514
347.223386,1000,4024.024958
345.820261,1000,4037.587384
347.664336,1000,4050.179767
342.97308,1000,4064.704674
343.453258,1000,4076.736597
348.923817,1000,4090.917856
344.864717,1000,4103.119728
347.120167,1000,4117.338784
344.322389,1000,4134.856274
341.881061,1000,4148.689188
347.592134,1000,4162.491
344.9845,1000,4175.609838
344.599731,1000,4189.6916
340.302756,1000,4201.615534
328.344422,1000,4215.446905
348.265335,1000,4227.446489
345.459248,1000,4241.512653
343.624365,1000,4256.587757
348.882573,1000,4273.537005
344.896717,1000,4286.121194
347.473177,1000,4300.476584
349.995473,1000,4314.603862
347.455626,1000,4326.372982
345.926307,1000,4340.719006
343.889432,1000,4352.818644
341.858401,1000,4367.053223
346.37313,1000,4379.829266
348.49823,1000,4394.299033
348.324586,1000,4411.040828
344.81177,1000,4426.077892
349.546075,1000,4438.711896
348.78565,1000,4453.17624
351.92996,1000,4466.948591
345.008992,1000,4480.349775
344.429158,1000,4495.485922
350.195228,1000,4508.154947
343.830023,1000,4521.94135
347.657362,1000,4535.161572
348.388996,1000,4554.2105
344.829382,1000,4566.92738
342.857712,1000,4581.072998
343.382813,1000,4593.563008
352.28426,1000,4608.134547
344.429382,1000,4622.167755
349.052817,1000,4634.251718
351.635274,1000,4648.192161
346.719945,1000,4660.872578
348.947213,1000,4675.015525
350.539959,1000,4692.481699
352.212858,1000,4706.309135
344.872695,1000,4718.524005
346.830077,1000,4733.251782
343.4311,1000,4746.95193
350.435132,1000,4762.675749
347.887439,1000,4779.109624
347.956436,1000,4802.263803
342.963882,1000,4821.148297
347.473435,1000,4837.649571
349.945045,1000,4861.119619
346.828698,1000,4876.245494
342.681354,1000,4897.448682
347.802749,1000,4914.923244
342.363558,1000,4929.962423
342.216978,1000,4946.958812
341.22681,1000,4961.904778
349.129169,1000,4979.578511
342.638373,1000,4994.680499
351.045765,1000,5011.383322
345.237669,1000,5030.316421
347.971229,1000,5044.580549
344.844276,1000,5057.740953
343.836635,1000,5072.095366
347.693758,1000,5085.2222
342.73197,1000,5099.802348
344.539998,1000,5113.211232
346.785906,1000,5128.281271
344.712327,1000,5141.418833
345.144565,1000,5155.498292
341.867861,1000,5173.545862
343.967878,1000,5187.874867
347.270068,1000,5202.537704
347.017082,1000,5214.455208
345.468612,1000,5229.899905
345.311818,1000,5242.917867
346.185084,1000,5258.118776
345.87698,1000,5270.669029
347.128404,1000,5285.129067
345.815078,1000,5298.093546
345.836739,1000,5318.554902
345.223597,1000,5331.851781
346.837569,1000,5346.695803
351.283247,1000,5359.430238
345.151933,1000,5373.96777
345.021785,1000,5387.212032
346.198525,1000,5401.235443
346.671054,1000,5414.803064
346.19153,1000,5429.2261
349.789583,1000,5444.341025
345.24531,1000,5462.12071
348.141242,1000,5476.595663
343.780259,1000,5489.359411
345.547397,1000,5503.932351
343.221614,1000,5516.441462
349.70031,1000,5531.082403
350.251659,1000,5542.908152
345.916184,1000,5556.919191
345.783586,1000,5568.814738
351.262736,1000,5583.481389
344.936886,1000,5600.744211
349.279095,1000,5615.215787
348.407949,1000,5629.420736
347.203011,1000,5641.667643
345.738675,1000,5655.605579
346.726728,1000,5668.263179
349.886516,1000,5682.473503
347.861146,1000,5695.315269
349.521014,1000,5709.947354
345.741482,1000,5721.713121
343.752331,1000,5741.52442
347.79202,1000,5754.238946
344.380205,1000,5768.825947
345.102823,1000,5780.702753
345.737698,1000,5795.568243
347.345128,1000,5809.990024
343.916473,1000,5822.548294
348.616992,1000,5837.384808
346.762808,1000,5850.373082
346.003279,1000,5865.222804
348.18296,1000,5883.816631
348.032056,1000,6432.952728
346.195985,1000,6446.464031
348.013144,1000,6457.10332
347.248572,1000,6470.794466
350.720546,1000,6483.173219
347.768617,1000,6496.712491
346.627359,1000,6509.687267
347.002226,1000,6520.840112
348.45829,1000,6533.256166
350.620766,1000,6549.967424
348.209476,1000,6562.677178
348.118334,1000,6573.937563
353.170657,1000,6586.778759
351.388268,1000,6600.207952
345.656634,1000,6611.591192
345.996502,1000,6625.000498
347.748122,1000,6638.593498
349.798551,1000,6653.39994
343.961118,1000,6666.535047
348.630094,1000,6685.926683
344.569765,1000,6699.138933
344.5064,1000,6714.916305
345.359965,1000,6727.700129
349.507638,1000,6741.78808
348.778198,1000,6756.228332
348.221752,1000,6769.55805
345.916458,1000,6784.487732
346.568209,1000,6797.468972
346.007714,1000,6812.330221
349.575992,1000,6830.599998
351.91001,1000,6845.11637
347.027755,1000,6857.799623
351.402239,1000,6872.369033
345.919107,1000,6885.589578
346.418164,1000,6901.523183
346.999568,1000,6914.590659
347.371684,1000,6928.761566
344.471343,1000,6941.65981
348.743171,1000,6957.068602
345.851482,1000,6974.626573
349.352055,1000,6989.037394
349.421944,1000,7001.968925
350.680564,1000,7017.798116
348.477528,1000,7030.321114
345.704095,1000,7044.812279
347.916594,1000,7059.701268
352.682187,1000,7072.86873
345.26203,1000,7087.570528
343.65413,1000,7100.544918
351.13538,1000,7120.114372
346.59629,1000,7133.116858
349.994486,1000,7147.772088
350.560836,1000,7162.114141
346.377213,1000,7173.352412
348.237489,1000,7188.205418
352.001673,1000,7201.227816
347.491427,1000,7216.578695
349.565444,1000,7228.995089
347.32812,1000,7243.705371
347.970445,1000,7261.089847
345.806713,1000,7276.287346
347.922841,1000,7289.312039
351.038378,1000,7304.351405
347.764658,1000,7317.810669
349.804209,1000,7332.574251
348.640079,1000,7347.022524
342.994253,1000,7359.487967
345.346749,1000,7375.145996
344.857926,1000,7388.194583
349.283147,1000,7408.000471
349.537568,1000,7421.076416
344.71065,1000,7436.05928
344.791386,1000,7451.382233
339.365165,1000,7465.34996
346.230961,1000,7476.974018
343.882751,1000,7491.823241
349.368952,1000,7506.516317
346.997483,1000,7520.291733
347.278965,1000,7535.615119
347.013075,1000,7554.418172
351.690084,1000,7568.540212
350.709328,1000,7581.863774
345.39039,1000,7596.575404
345.834095,1000,7609.234341
348.048534,1000,7623.467156
348.116024,1000,7636.865534
349.437676,1000,7651.157198
346.777951,1000,7664.087168
346.022287,1000,7679.070086
345.311341,1000,7697.255334
342.453198,1000,7711.338035
345.583791,1000,7724.255368
343.250548,1000,7739.349186
345.819258,1000,7753.812503
347.213414,1000,7767.715442
344.030799,1000,7782.138764
344.220559,1000,7795.763935
343.443351,1000,7810.074481
345.312201,1000,7822.931077
350.18444,1000,7842.577814
346.91382,1000,7855.927713
345.330305,1000,7870.255315
343.818852,1000,7884.113123
348.61829,1000,7898.181075
349.467966,1000,7912.549694
348.87605,1000,7925.94338
344.878084,1000,7940.533565
347.486714,1000,7954.150067
343.938212,1000,7968.041029
343.329321,1000,7986.553864
343.754048,1000,8002.029296
344.480738,1000,8016.612221
345.634553,1000,8030.081147
348.485649,1000,8044.768337
345.867698,1000,8058.045123
342.58559,1000,8072.722605
343.674868,1000,8087.434337
344.557454,1000,8099.456156
346.068834,1000,8113.870803
346.59398,1000,8131.662626
344.36887,1000,8145.907285
344.855818,1000,8159.976122
348.717723,1000,8174.756659
343.288742,1000,8187.590992
352.277666,1000,8202.850289
343.443434,1000,8217.882695
351.995098,1000,8232.506078
345.327931,1000,8247.137869
345.842825,1000,8260.570891
344.950665,1000,8277.382862
348.38336,1000,8293.072677
345.857611,1000,8307.429991
345.765274,1000,8320.024378
348.568833,1000,8334.459214
347.984132,1000,8349.122127
345.688697,1000,8363.239816
350.724295,1000,8376.499953
341.070108,1000,8389.611316
346.853599,1000,8404.639969
343.049287,1000,8423.45317
346.812422,1000,8435.567572
349.206889,1000,8448.9089
347.904449,1000,8462.570201
345.382683,1000,8476.884978
345.722884,1000,8491.01709
342.723363,1000,8503.651419
343.740938,1000,8518.664203
348.655773,1000,8533.796175
349.534999,1000,8546.371445
349.379829,1000,8565.053148
348.980123,1000,8579.984681
351.643214,1000,8594.66455
349.104654,1000,8609.169405
347.274142,1000,8621.990991
346.177781,1000,8635.883919
343.536727,1000,8650.525573
347.016355,1000,8664.974979
344.453715,1000,8680.147361
344.772959,1000,8694.129849
351.104509,1000,8711.833025
349.041478,1000,8727.470016
347.35596,1000,8740.698735
344.965469,1000,8756.189456
352.777706,1000,8770.315221
345.449345,1000,8783.08812
345.27616,1000,8798.045362
344.727678,1000,8812.749861
345.249799,1000,8827.190319
348.569884,1000,8842.633126
345.296468,1000,8861.602181
341.505617,1000,8875.230184
347.13874,1000,8890.106896
349.50927,1000,8904.777812
341.432433,1000,8917.898424
342.831035,1000,8932.481379
339.041082,1000,8946.856341
341.064335,1000,8960.873967
345.623387,1000,8973.786556
345.903886,1000,8988.364747
343.665399,1000,9008.545332
341.260631,1000,9021.63618
341.268284,1000,9036.360946
341.907282,1000,9051.149061
341.709841,1000,9064.57184
339.874871,1000,9080.098639
347.327649,1000,9093.029762
346.149235,1000,9107.78264
343.389143,1000,9123.135201
341.402023,1000,9135.262235
337.905359,1000,9154.682052
343.646849,1000,9169.352179
342.30871,1000,9183.959303
345.918927,1000,9196.704177
344.337047,1000,9211.014781
347.746076,1000,9225.24448
343.475295,1000,9240.478453
344.583439,1000,9255.654381
342.86385,1000,9269.205723
342.284659,1000,9283.545367
341.405603,1000,9302.340997
344.411266,1000,9317.21925
348.732553,1000,9330.420287
344.525507,1000,9345.829783
347.920219,1000,9360.42154
348.375491,1000,9374.763731
341.92506,1000,9387.614183
345.94892,1000,9402.378726
346.929642,1000,9416.349989
343.791298,1000,9431.757267
339.758657,1000,9451.615069
344.824343,1000,9465.375412
345.653495,1000,9479.879062
342.425277,1000,9492.775231
346.446184,1000,9508.168627
345.103244,1000,9521.716252
345.765765,1000,9537.508276
345.972873,1000,9551.452623
350.287188,1000,9565.407952
345.961851,1000,9579.148701
345.746602,1000,9597.250694
346.95425,1000,9611.299178
346.938304,1000,9625.295295
346.718755,1000,9640.596702
344.34164,1000,9654.079262
342.483634,1000,9668.209362
347.817051,1000,9682.659061
346.882043,1000,9696.058908
345.485679,1000,9711.463694
351.775646,1000,9725.193818
345.214725,1000,9744.086513
350.351389,1000,9757.242972
346.164394,1000,9771.637896
345.550192,1000,9787.104955
343.318796,1000,9799.702804
343.196166,1000,9814.841655
342.837705,1000,9828.698105
343.050946,1000,9843.71913
345.268359,1000,9857.083938
345.30779,1000,9872.665087
343.017483,1000,9891.946928
344.040962,1000,9907.01557
344.03652,1000,9920.347988
345.528191,1000,9935.007893
345.634087,1000,9948.708575
345.115184,1000,9963.871156
343.133086,1000,9977.226428
345.656645,1000,9992.163715
347.211805,1000,10005.83667
347.628526,1000,10021.539055
346.954918,1000,10040.109611
350.538996,1000,10055.104274
348.846043,1000,10068.514188
344.93578,1000,10083.708876
348.108624,1000,10099.154635
345.563973,1000,10112.343604
345.715558,1000,10127.196747
348.019506,1000,10140.628269
347.116724,1000,10155.460898
347.733828,1000,10168.332954
345.314683,1000,10187.934633
346.438757,1000,10201.99295
345.566622,1000,10216.195076
346.001417,1000,10231.687647
343.506197,1000,10246.581726
345.548438,1000,10260.676954
345.205578,1000,10275.85223
346.313734,1000,10289.255243
343.986288,1000,10303.880487
348.391683,1000,10317.882244
341.63937,1000,10337.631169
341.823236,1000,10350.574477
342.83531,1000,10365.027239
342.751886,1000,10379.400905
345.833184,1000,10394.77411
348.991816,1000,10408.019852
348.539794,1000,10423.223929
344.366146,1000,10437.115252
346.713052,1000,10451.578922
345.783867,1000,10466.805226
346.522559,1000,10485.855886
347.858876,1000,10499.170678
353.66067,1000,10513.868084
350.128564,1000,10528.542398
346.957503,1000,10541.482239
347.978388,1000,10557.351027
347.12067,1000,10570.192288
345.286577,1000,10584.669015
345.268028,1000,10598.161936
347.415383,1000,10613.717789
343.999636,1000,10632.462978
344.052466,1000,10647.229421
351.639278,1000,10660.779563
346.224652,1000,10676.432944
346.442088,1000,10689.447284
347.652713,1000,10704.929949
347.277055,1000,10718.570121
350.198943,1000,10734.694949
349.907107,1000,10748.13643
349.575159,1000,10763.38505
346.491044,1000,10781.70621
350.063013,1000,10796.601276
351.337182,1000,10808.86778
348.71829,1000,10824.007356
346.633195,1000,10837.313129
347.469628,1000,10853.037484
347.619443,1000,10866.011338
346.442173,1000,10880.843875
345.502026,1000,10896.203821
347.508045,1000,10910.230083
348.160983,1000,10931.10373
347.731686,1000,10947.908147
349.879285,1000,10963.206196
350.103328,1000,10980.122356
348.530126,1000,10994.950478
348.84145,1000,11010.458753
353.797865,1000,11023.754859
350.034184,1000,11039.204087
351.13267,1000,11052.493813
350.789573,1000,11067.685773
348.317877,1000,11086.077233
345.38162,1000,11101.316572
350.96325,1000,11114.295645
347.332502,1000,11129.756237
350.570611,1000,11142.747385
344.77192,1000,11157.169657
343.727991,1000,11170.311313
346.686447,1000,11184.801021
348.412524,1000,11199.740742
349.340692,1000,11213.407379
345.881528,1000,11231.095342
346.267396,1000,11246.160139
349.521687,1000,11261.457999
347.835247,1000,11275.520765
346.803089,1000,11290.468322
352.330673,1000,11304.083796
346.740785,1000,11318.691958
346.863276,1000,11332.768152
344.666835,1000,11347.342992
349.212974,1000,11360.761604
348.531474,1000,11380.68422
345.050998,1000,11394.400099
352.451801,1000,11409.878002
343.865612,1000,11423.114739
345.394345,1000,11438.162889
349.327497,1000,11453.834336
349.573816,1000,11465.994351
350.997247,1000,11480.715856
349.597895,1000,11496.018539
350.010051,1000,11510.949783
348.306641,1000,11528.849865
353.202079,1000,11542.854739
351.634635,1000,11557.80064
346.197036,1000,11571.743342
346.254607,1000,11586.166074
346.974084,1000,11600.614995
347.098698,1000,11615.686515
345.797991,1000,11629.012093
347.247161,1000,11643.332643
347.418747,1000,11657.754584
348.456983,1000,11676.205562
348.725989,1000,11691.15509
345.324458,1000,11704.655208
344.9715,1000,11718.903013
346.951808,1000,11733.272816
349.067239,1000,11745.571701
346.463377,1000,11759.191172
350.0258,1000,11773.334282
353.547638,1000,11788.508439
347.811175,1000,11800.765929
347.03153,1000,11821.426459
347.36836,1000,11834.013327
346.207412,1000,11848.674711
345.029844,1000,11863.743547
346.990228,1000,11877.75299
342.928107,1000,11891.394789
345.931034,1000,11904.094633
347.0412,1000,11918.592564
351.382809,1000,11932.229274
352.840258,1000,11946.811305
345.698749,1000,11964.73148
347.178281,1000,11979.166502
346.833648,1000,11993.102689
345.80581,1000,12008.425681
350.904607,1000,12021.772373
347.024541,1000,12037.305781
346.944375,1000,12052.130888
347.77337,1000,12065.817732
346.961549,1000,12081.183141
345.740507,1000,12094.566739
346.20078,1000,12113.658031
350.831401,1000,12128.488311
346.152725,1000,12143.394828
346.43309,1000,12156.586598
343.335523,1000,12171.606628
339.409404,1000,12185.475986
343.26728,1000,12200.096673
344.009908,1000,12213.169407
346.650487,1000,12228.45879
342.941696,1000,12241.849414
347.461338,1000,12261.931887
346.177401,1000,12275.3392
344.378053,1000,12290.13574
346.914606,1000,12303.140992
349.633334,1000,12318.206072
344.725409,1000,12332.27476
353.208663,1000,12347.010751
343.984448,1000,12360.646995
342.962715,1000,12375.662625
345.673554,1000,12390.120916
346.524514,1000,12407.691458
351.186614,1000,12421.870524
346.103808,1000,12436.402995
346.464388,1000,12451.574157
347.654478,1000,12464.890904
347.709255,1000,12479.881107
344.478986,1000,12493.010367
346.766743,1000,12507.473213
347.505882,1000,12521.115519
347.473833,1000,12536.169458
345.791193,1000,12554.292939
344.294114,1000,12569.60648
346.523198,1000,12583.011639
346.983278,1000,12598.515399
346.028567,1000,12611.473557
345.721927,1000,12626.482432
348.951975,1000,12641.573575
344.945071,1000,12654.640941
350.022948,1000,12669.607632
346.749252,1000,12682.953914
346.69441,1000,12702.970064
347.245095,1000,12716.633718
346.811259,1000,12732.423484
348.313376,1000,12745.652985
350.543127,1000,12760.133586
351.713248,1000,12774.510749
350.756083,1000,12789.652498
352.083009,1000,12804.795094
346.32787,1000,12817.63988
346.813183,1000,12831.948055
348.720841,1000,12852.630653
348.84253,1000,12867.134474
349.107279,1000,12880.50935
346.811889,1000,12892.024654
351.729073,1000,12905.774842
345.576527,1000,12921.7062
346.198278,1000,12936.071285
345.647076,1000,12949.433518
350.93086,1000,12963.833231
351.237661,1000,12978.704032
346.897531,1000,12997.003726
349.341297,1000,13011.976948
347.215957,1000,13026.430924
351.26035,1000,13040.990508
348.196529,1000,13054.176747
344.461221,1000,13069.876453
347.373979,1000,13083.17233
348.439555,1000,13097.68658
349.28867,1000,13112.563622
343.872707,1000,13125.233847
345.869878,1000,13146.291985
344.924197,1000,13160.531423
343.457397,1000,13173.085737
348.124928,1000,13187.054976
346.171367,1000,13201.480632
349.274466,1000,13215.772238
351.848491,1000,13229.316155
344.733652,1000,13244.46187
345.706455,1000,13258.76626
342.008315,1000,13273.494142
343.639304,1000,13291.903922
346.857801,1000,13307.215349
347.134588,1000,13321.458627
347.962343,1000,13336.174374
341.691698,1000,13350.952371
342.42384,1000,13364.764362
344.295267,1000,13379.992131
341.904293,1000,13393.617779
342.221168,1000,13408.895484
341.428246,1000,13422.304669
345.490067,1000,13442.724203
348.256031,1000,13456.181208
341.891777,1000,13470.703525
345.589055,1000,13483.888222
344.337752,1000,13499.674927
346.480596,1000,13513.740179
345.218706,1000,13529.052634
346.558027,1000,13542.280662
349.10469,1000,13557.877949
347.34424,1000,13572.061754
347.469531,1000,13591.623302
345.286277,1000,13604.684794
347.924522,1000,13620.607195
345.265749,1000,13633.710098
346.886754,1000,13649.515884
345.597487,1000,13662.543033
345.210224,1000,13677.90592
340.694667,1000,13691.014895
344.799653,1000,13706.504585
350.708562,1000,13720.271331
346.110613,1000,13740.791462
346.13557,1000,13754.432397
348.073061,1000,13769.432605
347.114914,1000,13782.803253
344.201265,1000,13796.896101
351.540024,1000,13812.389117
344.166839,1000,13825.723724
346.087643,1000,13841.128754
343.792,1000,13854.081164
349.949485,1000,13869.127427
347.982069,1000,13888.989252
344.313789,1000,13900.623492
349.776335,1000,13915.766821
341.391789,1000,13930.98113
343.435867,1000,13945.928073
349.668847,1000,13957.518207
345.781486,1000,13972.83658
348.296225,1000,13986.416829
346.876987,1000,14001.746037
344.943589,1000,14015.330305
347.046249,1000,14035.340835
345.16595,1000,14048.719939
348.232407,1000,14063.897146
346.072709,1000,14077.087643
349.105077,1000,14092.330195
346.160251,1000,14105.789557
346.973422,1000,14120.293911
345.468325,1000,14134.622579
347.721588,1000,14147.406428
348.044225,1000,14163.40254
347.18814,1000,14181.474289
351.496111,1000,14196.552412
344.10666,1000,14210.064714
345.179106,1000,14225.43052
344.178321,1000,14238.478124
345.057961,1000,14254.448564
345.115098,1000,14267.778705
345.23741,1000,14283.088157
346.862906,1000,14296.676147
348.530878,1000,14311.311671
348.141768,1000,14330.852191
348.596801,1000,14345.700842
349.056432,1000,14358.234479
347.177774,1000,14373.345565
343.899227,1000,14386.633233
344.075565,1000,14401.403425
347.871088,1000,14416.174358
345.694137,1000,14430.435107
341.817543,1000,14445.992968
344.96778,1000,14459.399046
346.172618,1000,14479.467055
347.308947,1000,14492.761062
343.56224,1000,14506.897724
351.154887,1000,14520.463521
351.210453,1000,14535.401781
344.927817,1000,14549.931904
345.451373,1000,14562.796288
349.88768,1000,14578.100377
