#{"t_start": 1749383827.0857978, "env_id": "Swimmer-v4"}
r,l,t
345.830967,1000,14592.820991
344.726638,1000,14605.124632
343.076247,1000,14624.461379
345.791171,1000,14637.97404
342.110221,1000,14652.639036
347.143763,1000,14665.504903
345.194888,1000,14680.271868
343.986492,1000,14693.892414
342.605255,1000,14708.66709
343.70622,1000,14722.183692
342.514067,1000,14737.247286
346.022153,1000,14750.554736
